Jogador;esse jogador é brasileiro?;Esse jogador esta na line atual da FURIA?;esse jogador é Awper?;Este jogador é um treinador, e não um jogador ativo?;Este jogador é famoso por seu estilo agressivo de abertura de rounds?;Este jogador tem passagem por Imperial?;Este jogador já foi considerado um dos melhores IGLs (In-Game Leaders) do Brasil?;Este jogador fez sua transição para comentarista/analista após encerrar a carreira de jogador?;Este jogador foi promovido da base (FURIA Academy) para o time principal?;Este jogador foi campeão mundial de CS:GO?;Este jogador teve dificuldade de adaptação jogando no Brasil por não falar português nativamente?;"Este jogador é conhecido pela famosa frase ""Hoje tem Clutch do ...""?";Este jogador é considerado uma jovem promessa brasileira que jogava pela paiN Gaming?;"Este jogador tem fama de jogar de forma muito ""safe"", buscando poucos riscos?";Este jogador ficou conhecido como um entry fragger extremamente ousado na FURIA?;Este jogador teve uma trajetória de destaque em campeonatos universitários ou semi-profissionais antes de tentar carreira principal?;Este jogador tem um irmão gêmeo também profissional de CS:GO?;Esse jogador ganhou o apelido de Tubarão Linguiça?;Este jogador já deixou a FURIA para jogar em outro time grande?;Este jogador atuou no cenário competitivo ainda no CS 1.6?;Este jogador se destacou em ligas universitárias?;Este jogador participou da FURIA Academy?;Este jogador atuou majoritariamente em times de menor expressão?
yuurih;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KSCERATO;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
FalleN;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
molodoy;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YEKINDAR;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
skullz;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
chelo;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guerri;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arT;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
saffee;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
drop;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINI;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
junior;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
honda;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HEN1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
ableJ;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
spacca;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bld V;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
s1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
prd;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
caike;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
